Connected to the server
Starting a file upload...
received ACK(483)from the server('127.0.0.1', 4000).
received ACK(484)from the server('127.0.0.1', 4000).
received ACK(485)from the server('127.0.0.1', 4000).
received ACK(486)from the server('127.0.0.1', 4000).
received ACK(487)from the server('127.0.0.1', 4000).
received ACK(488)from the server('127.0.0.1', 4000).
received ACK(489)from the server('127.0.0.1', 4000).
received ACK(490)from the server('127.0.0.1', 4000).
received ACK(491)from the server('127.0.0.1', 4000).
received ACK(492)from the server('127.0.0.1', 4000).
received ACK(493)from the server('127.0.0.1', 4000).
received ACK(494)from the server('127.0.0.1', 4000).
received ACK(495)from the server('127.0.0.1', 4000).
received ACK(496)from the server('127.0.0.1', 4000).
received ACK(497)from the server('127.0.0.1', 4000).
received ACK(498)from the server('127.0.0.1', 4000).
received ACK(499)from the server('127.0.0.1', 4000).
received ACK(500)from the server('127.0.0.1', 4000).
received ACK(501)from the server('127.0.0.1', 4000).
received ACK(502)from the server('127.0.0.1', 4000).
received ACK(503)from the server('127.0.0.1', 4000).
received ACK(504)from the server('127.0.0.1', 4000).
received ACK(505)from the server('127.0.0.1', 4000).
received ACK(506)from the server('127.0.0.1', 4000).
received ACK(507)from the server('127.0.0.1', 4000).
received ACK(508)from the server('127.0.0.1', 4000).
received ACK(509)from the server('127.0.0.1', 4000).
received ACK(510)from the server('127.0.0.1', 4000).
received ACK(511)from the server('127.0.0.1', 4000).
received ACK(512)from the server('127.0.0.1', 4000).
received ACK(513)from the server('127.0.0.1', 4000).
received ACK(514)from the server('127.0.0.1', 4000).
received ACK(515)from the server('127.0.0.1', 4000).
received ACK(516)from the server('127.0.0.1', 4000).
received ACK(517)from the server('127.0.0.1', 4000).
received ACK(518)from the server('127.0.0.1', 4000).
received ACK(519)from the server('127.0.0.1', 4000).
received ACK(520)from the server('127.0.0.1', 4000).
received ACK(521)from the server('127.0.0.1', 4000).
received ACK(522)from the server('127.0.0.1', 4000).
received ACK(523)from the server('127.0.0.1', 4000).
received ACK(524)from the server('127.0.0.1', 4000).
received ACK(525)from the server('127.0.0.1', 4000).
received ACK(526)from the server('127.0.0.1', 4000).
received ACK(527)from the server('127.0.0.1', 4000).
received ACK(528)from the server('127.0.0.1', 4000).
received ACK(529)from the server('127.0.0.1', 4000).
received ACK(530)from the server('127.0.0.1', 4000).
received ACK(531)from the server('127.0.0.1', 4000).
received ACK(532)from the server('127.0.0.1', 4000).
